1910.05561,Portfolio Cuts: A Graph-Theoretic Framework to Diversification,Bruno Scalzo Dees,eess.SP cs.IT math.IT q-fin.PM q-fin.ST

2003.09298,Power Assisted Trend Following,Andreas A. Aigner,q-fin.TR eess.SP q-fin.CP q-fin.MF

2012.15410,Algorithms for Learning Graphs in Financial Markets,José Vinícius de Miranda Cardoso,cs.LG eess.SP q-fin.ST

2106.03417,Dynamic Portfolio Cuts: A Spectral Approach to Graph-Theoretic  Diversification,Alvaro Arroyo,q-fin.PM eess.SP

2109.09238,A Data-Driven Convergence Bidding Strategy Based on Reverse Engineering  of Market Participants' Performance: A Case of California ISO,Ehsan Samani,eess.SP cs.GT cs.LG econ.GN q-fin.EC
